Date,Open,High,Low,Close,Volume
2006/7/3,4302.2,4398.38,4302.2,4398.38,57677.99
2006/7/4,4400.53,4403.93,4326.25,4345.57,69473.23
2006/7/5,4345.83,4345.94,4259.17,4291.26,51992.32
2006/7/6,4287.7,4356.84,4284.88,4348.45,46908.87
2006/7/7,4360.08,4376.53,4311.79,4322.85,52148.8
2006/7/10,4322.39,4340.68,4283.37,4336.24,50515.54
2006/7/11,4336.04,4344.17,4295.98,4323.49,51005.94
2006/7/12,4324.01,4391.59,4324.01,4350.81,67689.58
2006/7/13,4346.33,4357.39,4130.64,4149.06,81278.87
2006/7/14,4115.05,4226.5,4094.88,4187.49,57241.44
2006/7/17,4179.7,4235.73,4164.85,4229.1,36928.4
2006/7/18,4220.68,4240.09,4197.08,4235.1,35360.57
2006/7/19,4213.81,4213.81,4092.91,4109.66,38764.66
2006/7/20,4101.96,4149.32,4093.32,4135.88,24581.64
2006/7/21,4136.46,4183.06,4133.73,4178.98,27260.99
2006/7/24,4130.76,4190.14,4096.67,4183.28,28009.65
2006/7/25,4182.31,4237,4182.31,4221.84,29573.76
2006/7/26,4229.45,4240.48,4198.17,4199.28,28559.11
2006/7/27,4194.26,4205.83,4108.27,4129.91,32682.94
2006/7/28,4130.4,4151.22,4043.69,4080.63,30987.43
2006/7/31,4068.51,4068.51,3936.75,3946.9,36824.62
2006/8/1,3941.49,3969.92,3906.27,3919.56,27158.28
2006/8/2,3920.02,3935.19,3838.72,3892.4,26861.07
2006/8/3,3891.75,3908.75,3853.87,3883.15,19476.35
2006/8/4,3884.32,3898.14,3811.53,3820.48,22832.48
2006/8/7,3802,3832.15,3766.83,3780.38,23616.01
2006/8/8,3784.13,3868.7,3784.13,3868.7,21582.96
2006/8/9,3869.13,3875.26,3840.44,3852.73,18169.54
2006/8/10,3851.01,3905.68,3849.27,3905.44,22873.19
2006/8/11,3911.22,3914.67,3875.72,3909.66,21015.16
2006/8/14,3901.7,3927.91,3840.45,3853.75,23887.2
2006/8/15,3844.72,3912.22,3836.15,3912.22,25735.2
2006/8/16,3919.15,3972.71,3906.79,3972.71,34335.45
2006/8/17,3964.11,3964.11,3913.67,3939.59,20116.75
2006/8/18,3928.44,3964.76,3913.45,3924.27,19115.58
2006/8/21,3835.83,3932.17,3807.4,3932.17,20467.72
2006/8/22,3924.74,3988.19,3922.51,3977.9,25651.64
2006/8/23,3974.46,4004.31,3966.11,3975.72,25745.21
2006/8/24,3966.09,3986.39,3941.06,3977.34,16282.12
2006/8/25,3978.6,4014.26,3973.98,3997.55,26915.2
2006/8/28,4001,4116.16,4000.85,4114.38,42791.35
2006/8/29,4117.86,4216.2,4117.86,4140.15,47610.53
2006/8/30,4127.34,4161.54,4104.74,4157.56,27961.4
2006/8/31,4159.95,4196.74,4155.72,4178.84,35184.36
2006/9/1,4183.54,4185.74,4109.77,4128.75,32862.36
2006/9/4,4116.51,4181.45,4114.57,4181.45,26438.84
2006/9/5,4185.68,4195.5,4154.97,4165.86,30189.87
2006/9/6,4165.47,4178.06,4128.27,4171.18,39476.88
2006/9/7,4172.72,4172.72,4109.71,4119.05,27351.58
2006/9/8,4115.63,4140.62,4101.33,4111.03,18629.24
2006/9/11,4105.52,4135.65,4067.19,4135.65,26226.43
2006/9/12,4134.49,4160.58,4127.14,4153.27,32105.67
2006/9/13,4151.59,4175.95,4117.44,4117.89,33883.1
2006/9/14,4110.99,4131,4069.13,4102.28,25919.39
2006/9/15,4100.36,4183.76,4099.73,4183.76,35842.77
2006/9/18,4202.07,4243.63,4187.8,4238.28,42041.81
2006/9/19,4249.01,4264.47,4214.39,4223.83,32067.02
2006/9/20,4216.78,4260.8,4188.56,4247.76,28931.03
2006/9/21,4250.69,4306.73,4246.45,4282.71,38406.23
2006/9/22,4287.96,4310.48,4253.91,4269.93,36802.98
2006/9/25,4263.74,4320.58,4242.07,4271.97,25578.7
